	68.ERC.R1	68.ERC.R3	68.ERN.R1	68.ERN.R2	68plusE2.ERC.R1	68plusE2.ERC.R2	68plusE2.ERC.R4	68plusE2.ERN.R1	68plusE2.ERN.R2	Mut.ERC.R1	Mut.ERC.R2	Mut.ERN.R1	Mut.ERN.R2	MutplusE2.ERC.R1	MutplusE2.ERC.R2	WTplusE2.ERC.R1	WTplusE2.ERC.R2	WTplusE2.ERN.R1	WTplusE2.ERN.R2
68.ERC.R1	1	0.316514	0.172188	0.18645	0.488642	0.159706	0.445018	0.123774	0.218991	0.0845439	0.166858	0.00431142	0.00523764	0.0433581	0.155972	0.132876	0.175323	0.019289	0.0364292	
68.ERC.R3	0.316514	1	0.154495	0.109109	0.272723	0.104911	0.301042	0.127035	0.111325	0.0481448	0.153071	0.00500959	0.00600191	0.0253392	0.124142	0.0918716	0.140854	0.0198063	0.0340577	
68.ERN.R1	0.172188	0.154495	1	0.241969	0.215146	0.0506367	0.249712	0.402235	0.200178	0.00105821	0.00715851	0.0161585	0.0186076	0.00566128	0.034874	0.0274982	0.0319416	0.0352572	0.0402421	
68.ERN.R2	0.18645	0.109109	0.241969	1	0.206976	0.0797202	0.189946	0.176242	0.307002	0.001332	0.00773783	0.0112213	0.0198335	0.0102203	0.032769	0.0294405	0.0284842	0.0260876	0.0353529	
68plusE2.ERC.R1	0.488642	0.272723	0.215146	0.206976	1	0.162854	0.587107	0.163434	0.281413	0.0700479	0.102503	0.00545469	0.00855171	0.0436477	0.131991	0.12157	0.137857	0.0249879	0.0488472	
68plusE2.ERC.R2	0.159706	0.104911	0.0506367	0.0797202	0.162854	1	0.125642	0.0331651	0.117987	0.0921855	0.0621101	0.00140941	0.002115	0.073346	0.0825533	0.09284	0.0818823	0.00834133	0.0283339	
68plusE2.ERC.R4	0.445018	0.301042	0.249712	0.189946	0.587107	0.125642	1	0.215638	0.230732	0.0524362	0.117434	0.00780896	0.0107408	0.0303543	0.131326	0.108096	0.138723	0.0304885	0.0494036	
68plusE2.ERN.R1	0.123774	0.127035	0.402235	0.176242	0.163434	0.0331651	0.215638	1	0.13757	0.000638766	0.00589072	0.0205327	0.0189322	0.00447989	0.031161	0.023855	0.0278555	0.0412693	0.0375258	
68plusE2.ERN.R2	0.218991	0.111325	0.200178	0.307002	0.281413	0.117987	0.230732	0.13757	1	0.00170828	0.005158	0.00677367	0.0130742	0.0158776	0.042854	0.0397831	0.0372216	0.0218847	0.0436985	
Mut.ERC.R1	0.0845439	0.0481448	0.00105821	0.001332	0.0700479	0.0921855	0.0524362	0.000638766	0.00170828	1	0.0962686	0.000367342	0.000804889	0.252189	0.0951664	0.137691	0.100104	0.00145909	0.00182096	
Mut.ERC.R2	0.166858	0.153071	0.00715851	0.00773783	0.102503	0.0621101	0.117434	0.00589072	0.005158	0.0962686	1	0.00904631	0.0381575	0.0403188	0.194121	0.136978	0.254849	0.0234127	0.0257606	
Mut.ERN.R1	0.00431142	0.00500959	0.0161585	0.0112213	0.00545469	0.00140941	0.00780896	0.0205327	0.00677367	0.000367342	0.00904631	1	0.121526	0.00191876	0.0183726	0.0141803	0.0150304	0.208863	0.0302689	
Mut.ERN.R2	0.00523764	0.00600191	0.0186076	0.0198335	0.00855171	0.002115	0.0107408	0.0189322	0.0130742	0.000804889	0.0381575	0.121526	1	0.00685332	0.0420933	0.0373409	0.0321437	0.233716	0.0681127	
MutplusE2.ERC.R1	0.0433581	0.0253392	0.00566128	0.0102203	0.0436477	0.073346	0.0303543	0.00447989	0.0158776	0.252189	0.0403188	0.00191876	0.00685332	1	0.0754854	0.11845	0.0771847	0.00836503	0.0335934	
MutplusE2.ERC.R2	0.155972	0.124142	0.034874	0.032769	0.131991	0.0825533	0.131326	0.031161	0.042854	0.0951664	0.194121	0.0183726	0.0420933	0.0754854	1	0.417744	0.511417	0.107128	0.30806	
WTplusE2.ERC.R1	0.132876	0.0918716	0.0274982	0.0294405	0.12157	0.09284	0.108096	0.023855	0.0397831	0.137691	0.136978	0.0141803	0.0373409	0.11845	0.417744	1	0.453629	0.0806285	0.277272	
WTplusE2.ERC.R2	0.175323	0.140854	0.0319416	0.0284842	0.137857	0.0818823	0.138723	0.0278555	0.0372216	0.100104	0.254849	0.0150304	0.0321437	0.0771847	0.511417	0.453629	1	0.0942419	0.309068	
WTplusE2.ERN.R1	0.019289	0.0198063	0.0352572	0.0260876	0.0249879	0.00834133	0.0304885	0.0412693	0.0218847	0.00145909	0.0234127	0.208863	0.233716	0.00836503	0.107128	0.0806285	0.0942419	1	0.170733	
WTplusE2.ERN.R2	0.0364292	0.0340577	0.0402421	0.0353529	0.0488472	0.0283339	0.0494036	0.0375258	0.0436985	0.00182096	0.0257606	0.0302689	0.0681127	0.0335934	0.30806	0.277272	0.309068	0.170733	1	
